group,page,number,title,parts,notes,shelfmark
,111,15,Hymnus de St. Joanne Baptista | von Gregor Werner in D.,8,[right curly brace comprising no. 15–28] Sopran und Alt a ½ Bogen zu dupliren.,M 15
,,16,"dto Veni Creator Spiritus, | vom obigen in C.",7,,M 16
,,17,dto De SS: Trinitate vom | obigen in C.,8,,M 17
,,18,dto In Feſto S. Mariæ Magda= | lenæ vom obigen in Amol.,8,,M 18
,,19,dto SS. Innoc. a 4 voc. | vom obigen in F.,8,,M 19
,,20,dto D. S: Michaele et de | S. Angelo Custode von | Gregor Werner in F.,8,,M 20
,,21,dto In Feſto omnium Sancto= | rum von obigem … in Gmol,7,,M 21
,,22,dto dto dto vom obi= | gen in Dmol.,8,,M 22
,,23,dto in Transfiguratione Do= | mini vom obigen in Dmol.,8,,M 23
,,24,dto. in Dedicatione Ecclesiæ | vom obigen in Emol.,8,,M 24
,,25,dto. De Dedicatione Templi | vom obigen in Amol,8,,M 25
,,26,dto de Apoſtolis von Gre= | gor Werner in G.,8,,M 26
,,27,Hymnus de Apoſtolis vom | obigen in C.,8,,M 27
,,28,dto De Apoſtolis vom obigen | in Amol.,8,,M 28
,113,29,Hymnus De Confeſsore no Pon= | tifice von Gregor Werner in C.,8,[right curly brace comprising no. 29–42] Sopran und Alt a ½ Bogen zu dupliren.,M 29
,,30,dto. dto dto | von obigem in Emol.,8,,M 30
,,31,dto. De Confeſſore Pon= | tifice vom obigen in C.,8,,M 31
,,32,dto De Martyribus vom obi= | gen in Amol.,8,,M 32
,,33,dto dto vom obi= | gen in G.,8,,M 33
,,34,dto De B. V: Mariæ | vom obigen in Dmol.,8,,M 34
,,35,Hymnus De Beata vom | obigen in Dmol.,8,,M 35
,,36,dto De Virginibus von | Gregor Werner in Gmol.,8,,M 36
,,37,Hymnus De Beata Virgine | vom obigen in F.,8,,M 37
,,38,dto De Viduis vom obigen | in C.,8,,M 38
,,39,dto De Sancta Cruce vom | obigen in Gmol.,8,,M 39
,,40,dto De Sancta Cruce vom | obigen in Gmol.,6,,M 40
,,41,dto De Tempore von einem | unbekannten Compositeur in B.,8,,M 41
,,42,dto pto Completorio von | einem unbekannten Comp in Gmol.,8,,M 42
