number,title,id,check_link,date,folder,onb,classification,number_moder,notes
102,Alma Redemptoris Mater,I.1.29,true,2026-02-12,101–102,AC14308489,notebook (oblong),36,
103,Alma Redemptoris,I.1.2,true,2026-05-04,103–104,AC14308490,notebook (oblong),37,
104,Alma Redemptoris Mater ,I.1.26,true,2026-05-04,103–104,AC14308483,notebook (oblong),37,
105,Missa a 4 Vocibus,B.49,true,2026-03-06,105,AC14308462,notebook (oblong),40,notebooks 38+39?
106,Alma Redemptoris,I.1.28,true,2026-05-04,106,AC14308484,notebook (oblong),41,
107,Lytaniae Lauretanae,G.13,true,2026-08-20,107,AC14308549,notebook (oblong),43,where is notebook 42?
108,Magnificat,H.3.1,true,2026-04-27,108,AC14308552,notebook (oblong),44,
109,Salve Regina,I.4.50,true,2026-05-04,109–110,AC14308600,notebook (oblong),45,
110,Ave Regina,I.2.15,true,2026-05-04,109–110,AC14308501,notebook (oblong),45,
111,Salve Regina,I.4.47,true,2026-08-20,111–112,AC14308591,notebook (oblong),46,
112,Salve Regina,I.4.35,true,2026-08-20,111–112,AC14308593,notebook (oblong),46,
113,Missa brevis in honorem Sti. Judae Thaddaei,B.36,true,2026-08-20,113–114,AC14308464,notebook (oblong),47,
114,Hymnus de S.Michaele et de S.Angelo Custode,F.5,true,2026-08-20,113–114,AC14308533,notebook (oblong),48,
115,Pastorellae 2,N.13,true,2026-05-04,115–116,AC14308643,notebook (oblong),49,
116,Hymnus in Festo omnium Sanctorum,F.9,true,2026-05-04,115–116,AC14308525,notebook (oblong),49,
117,Pastorella 2,N.5,true,2026-03-06,117–118,AC14308644,notebook (oblong),50,
118,Hymnus de Deciatione Templi,F.39,true,2026-03-06,117–118,AC14308524,notebook (oblong),50,
119,Ave Regina,I.2.12,true,2026-05-04,119–121,AC14308500,notebook (oblong),51,
120,Alma Redemptoris,I.1.15,true,2026-05-04,119–121,AC14308485,notebook (oblong),51,
121,Hymnus de Ste.Joanne Baptista,F.46,true,2026-08-20,119–121,AC14308530,notebook (oblong),52,
122,Missa piae fiduciae,B.44,true,2026-08-20,122–123,AC14308474,notebook (oblong),53–55,
123,Hymnus de Sti Joanne Baptista,F.23,true,2026-08-20,122–123,AC14308531,notebook (oblong),55,
124,Responsorien der Gründonnerstag-Matutin,K.1,true,NA,–,AC14308583,,,notebooks 56+57?
125,Salve Regina,I.4.10,true,2026-05-04,125–126,AC14308599,notebook (oblong),58,
126,Hymnus S:S: Innocentium,F.13,true,2026-05-04,125–126,AC14308534,notebook (oblong),58,
127,Responsorien zum Karfreitag,K.3,true,NA,–,AC14308584,,,notebooks 59–62?
128,Hymnus in Ascensione Domini,F.19,true,2026-03-06,128–133,AC14308516,notebook (oblong),63,
129,Hymnus de Confessore Pontifice,F.10,true,2026-03-06,128–133,AC14308523,notebook (oblong),63,
130,Hymnus de Apostolis,F.3,true,2026-03-06,128–133,AC14308517,notebook (oblong),63,
131,Hymnus de Apostolis,F.32,true,2026-03-06,128–133,AC14308518,notebook (oblong),63,
132,Hymnus de SS: Trinitate,F.21,true,2026-03-06,128–133,AC14308536,notebook (oblong),63,
133,Hymnus de Viduis,F.26,true,2026-03-06,128–133,AC14308541,notebook (oblong),63,notebooks 64+65 see above?
134,Hymnus in festo S. Mariae Magdalenae,F.24,true,2026-05-04,134–135,AC14308532,notebook (oblong),66,
135,Hymnus in Transfiguratione Domini,F.25,true,2026-05-04,134–135,AC14308538,notebook (oblong),66,
136,Zwey neue Tafelstücke,L.1/2,false,2026-08-20,136,AC14333204,copy of print,,
137,Missa brevis in honorem Sti.Judae Thaddaei,B.36,true,NA,–,AC14308466,notebook (unnumbered),,
138,Missa brevis in honorem Sti.Judae Thaddaei,B.36,true,2026-02-12,138,AC14308465,notebook (unnumbered),,
139,Die Messenkompositionen Gregor Josef Werners,–,false,2025-06-20,139,AC14352359,notes,,"@Dopf1956, @Moder1959 (typescript), excerpt from @Pohl1875"
141,Biographische Angaben und Notizen,–,false,2025-12-03,141–143,AC14352362,notes,,"excerpts from Eitner, Schubert, Riemann"
142,Burgenländische Heimatblätter,–,false,2025-12-03,141–143,AC14352360,print,,"vol. 1, no. 1 (1932)"
143,Die Stadtpfarrkirche in Eisenstadt,–,false,2025-12-03,141–143,AC14352361,print,,"Mitteilungen des bgld. Heimat- und Naturschutzvereins, Sonderheft (1930)"
144,Concerto a 4,Q.3,false,NA,–,AC14330178,print,,@Moder1971b
145,Symphoniae sex senaeque Sonatae,"M.17–22, P.4–9",false,NA,–,AC14330182,print,,@Moder1971c
146,Concerto a 3,Q.4,false,NA,–,AC14308641,print,,@Moder1971a
147,Sechs Präludien und Fugen,M.24,false,NA,–,AC14330183,print,,"@Schmid1950a, @Schmid1950b, @Schmid1954, @Schmid1955, @Schmid1957a, @Schmid1957b"
148,Hirtenmusik zur Weihnacht,N.3,false,NA,–,AC14330172,print,,@Schmid1934b
149,Pastorella zur Weihnacht,N.15,false,NA,–,AC14330180,print,,@Schmid1935
150,Kleine Hirtenmusik,N.2,false,NA,–,AC14330173,print,,@Schmid1940
151,Pastorella in D,N.20,false,NA,–,AC14330179,print,,@Schmid1939
